company_id,company_name,cluster_id,cluster_name,distance_from_centroid,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr_pct,pat_cagr_5yr_pct,operating_profit_margin_pct
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,4,Value / Cyclical,0.792,34.39628482972136,0.018575851393188854,17.955244103890912,29.16686408659448,34.33255269320843
ITC,ITC Ltd,0,High Leverage / Turnaround,0.635,27.851074395694365,0.004066731984914169,7.950896846254429,10.083407558317958,37.0177518132814
HINDUNILVR,Hindustan Unilever Ltd,3,Premium Compounder,0.691,20.074973642078955,0.028974188761763442,9.504485244074123,11.152950436803422,76.31672482874498
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,3,Premium Compounder,1.314,15.3548827162833,0.9373223691689719,19.57867595245697,14.909565182041629,58.36172363445772
INFY,Infosys Ltd,0,High Leverage / Turnaround,0.628,29.788006718416632,0.09486358890553362,13.199100930556229,11.239419983657939,23.703390381987376
INDUSINDBK,IndusInd Bank Ltd,2,Defensive / Low Leverage,1.451,14.252273197764223,6.885742949503957,15.495613083358029,22.077464953948358,38.55469091544986
HCLTECH,HCL Technologies Ltd,0,High Leverage / Turnaround,0.575,23.01393141233172,0.08435023365512796,12.710299978373406,9.194090295112023,22.015594151738192
TRENT,Trent Ltd,4,Value / Cyclical,3.237,36.30776794493609,0.4309242871189774,36.30691600183056,73.11367578503176,15.927272727272726
ICICIBANK,ICICI Bank Ltd,2,Defensive / Low Leverage,0.722,17.99027109750765,6.445624336310825,17.25086850260209,51.94877118224903,62.41380175029464
LODHA,Macrotech Developers Ltd,0,High Leverage / Turnaround,1.739,8.895758200240426,0.4406663232010991,-2.8278535641862446,-1.119685230740497,25.833656455990695
JINDALSTEL,Jindal Steel & Power Ltd,0,High Leverage / Turnaround,1.032,13.410506363390198,0.3716941962270963,1.4028310947741707,,20.260555268697622
LT,Larsen & Toubro Ltd,0,High Leverage / Turnaround,0.416,77.66510140873214,0.10345688880007993,10.335347989682408,8.75885858017449,13.506668535997433
IRFC,Indian Railway Finance Corporation Ltd,2,Defensive / Low Leverage,2.03,13.038085361638096,8.378352548852153,19.06740855567788,23.245023933940367,99.50459748545694
TITAN,Titan Company Ltd,4,Value / Cyclical,0.675,37.2192057915469,1.653145959757266,20.897163953120245,20.274576296793036,10.359408033826638
IOC,Indian Oil Corporation,0,High Leverage / Turnaround,0.594,23.53162465856491,0.7230954600718581,8.008755667240486,20.099089966731643,9.743776019125345
LICI,Life Insurance Corporation of India,4,Value / Cyclical,2.835,49.44710986501021,0.0,8.15986061977938,73.17556747076097,3.87474201090824
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,3,Premium Compounder,1.267,7.732848705134029,0.10904134484325306,16.84553965244746,-5.6631941891523425,102.02531365231931
HDFCBANK,HDFC Bank Ltd,2,Defensive / Low Leverage,1.237,14.33974005030719,6.808786667718385,21.95098428169122,23.865063572879073,61.41252040373843
JIOFIN,Jio Financial Services Ltd,3,Premium Compounder,0.437,1.153456416595399,0.0,,,84.04312668463612
KOTAKBANK,Kotak Mahindra Bank Ltd,3,Premium Compounder,1.132,14.013018188532914,4.003739266919029,13.51960376324537,20.38200065626572,83.66733645109092
ADANIGREEN,Adani Green Energy Ltd,2,Defensive / Low Leverage,2.81,12.812690665039659,6.595281675818589,34.976172926382844,,79.3709327548807
